# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/0114084d-4a72-4cef-87b7-263e647b74e0/treatment
#
# total peaks = 17438
# peak size = 500
# peaks found using tags on both strands
# minimum distance between peaks = 1000
# fragment length = 172
# genome size = 2000000000
# Total tags = 1490767.0
# Total tags in peaks = 668168.0
# Approximate IP efficiency = 44.82%
# tags per bp = 0.000732
# expected tags per peak = 0.366
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# Poisson p-value threshold = 1.000000e-03
# Poisson tag threshold = 4.0
# number of putative peaks = 135445
#
# input tag directory = /home/0114084d-4a72-4cef-87b7-263e647b74e0/control
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 3
#
# size of region used for local filtering = 10000
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 1
#
# cmd = findPeaks /home/0114084d-4a72-4cef-87b7-263e647b74e0/treatment -o /home/0114084d-4a72-4cef-87b7-263e647b74e0/module_out/mouse_heart_H3K4me3_rep1.homer.txt -i /home/0114084d-4a72-4cef-87b7-263e647b74e0/control -style histone
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
chr5-7582	chr5	142812008	142823752	+	2710.0	11744.000	5.000000	404.0	5.2	78.25	0.00e+00	0.80
chr8-5974	chr8	57317349	57329765	+	2066.1	12416.000	5.000000	308.0	3.0	104.40	0.00e+00	0.94
chr18-982	chr18	11048313	11056794	+	2052.6	8481.000	18.000000	306.0	8.9	34.58	0.00e+00	0.93
chr5-5918	chr5	57714030	57724631	+	1844.7	10601.000	7.000000	275.0	9.6	28.68	6.60e-288	0.97
chr18-1687	chr18	75366465	75373611	+	1804.4	7146.000	13.000000	269.0	5.9	45.59	0.00e+00	0.94
chr14-2634	chr14	63239527	63249042	+	1777.6	9515.000	10.000000	265.0	7.4	35.93	1.22e-302	0.94
chr11-7078	chr11	19013300	19021272	+	1770.9	7972.000	8.000000	264.0	3.0	89.49	0.00e+00	0.94
chr3-3837	chr3	58413917	58420054	+	1757.5	6137.000	9.000000	262.0	5.2	50.75	0.00e+00	1.01
chr9-5684	chr9	64016004	64023660	+	1750.8	7656.000	6.000000	261.0	6.6	39.32	4.73e-308	0.93
chr5-6151	chr5	123134695	123145048	+	1710.5	10353.000	7.000000	255.0	9.6	26.60	4.63e-259	0.87
chr2-2499	chr2	116061149	116068938	+	1690.4	7789.000	19.000000	252.0	8.1	31.06	1.95e-272	0.89
chr9-6261	chr9	62340024	62344964	+	1589.8	4940.000	5.000000	237.0	3.7	64.27	0.00e+00	0.94
chr17-2986	chr17	34116971	34123886	+	1583.1	6915.000	12.000000	236.0	3.0	80.00	0.00e+00	0.92
chr4-6206	chr4	133750351	133755390	+	1455.6	5039.000	7.000000	217.0	3.0	73.56	2.20e-314	0.96
