# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/81841b21-3124-4bba-b3f3-563705705a5b/treatment
#
# total peaks = 16799
# peak size = 500
# peaks found using tags on both strands
# minimum distance between peaks = 1000
# fragment length = 182
# genome size = 2000000000
# Total tags = 1635265.0
# Total tags in peaks = 549406.0
# Approximate IP efficiency = 33.60%
# tags per bp = 0.000800
# expected tags per peak = 0.400
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# Poisson p-value threshold = 1.000000e-03
# Poisson tag threshold = 4.0
# number of putative peaks = 126776
#
# input tag directory = /home/81841b21-3124-4bba-b3f3-563705705a5b/control
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 6
#
# size of region used for local filtering = 10000
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 1
#
# cmd = findPeaks /home/81841b21-3124-4bba-b3f3-563705705a5b/treatment -o /home/81841b21-3124-4bba-b3f3-563705705a5b/module_out/mouse_heart_H3K4me3_rep2.homer.txt -i /home/81841b21-3124-4bba-b3f3-563705705a5b/control -style histone
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
chr5-3790	chr5	142812898	142823543	+	2177.0	10645.000	11.000000	356.0	9.1	39.00	0.00e+00	0.87
chr17-4962	chr17	34116499	34123431	+	1406.5	6932.000	5.000000	230.0	3.3	69.30	0.00e+00	0.92
chr18-1695	chr18	11049574	11056872	+	1375.9	7298.000	10.000000	225.0	2.5	90.39	0.00e+00	0.92
chr9-5084	chr9	64015969	64022884	+	1357.6	6915.000	6.000000	222.0	8.3	26.76	2.34e-226	0.92
chr18-1647	chr18	75366347	75373648	+	1345.3	7301.000	11.000000	220.0	8.3	26.51	1.67e-223	0.93
chr8-5418	chr8	57318243	57325777	+	1314.8	7534.000	5.000000	215.0	3.3	64.78	8.22e-300	1.02
chr11-5639	chr11	19013175	19021186	+	1296.4	8011.000	9.000000	212.0	5.8	36.50	6.18e-244	0.91
chr2-5355	chr2	116060274	116069855	+	1290.3	9581.000	9.000000	211.0	7.5	28.26	4.63e-220	0.88
chr3-1807	chr3	58414269	58419615	+	1223.0	5346.000	14.000000	200.0	3.3	60.26	7.41e-273	0.96
chr13-659	chr13	63562658	63568633	+	1223.0	5975.000	20.000000	200.0	3.3	60.26	7.41e-273	0.97
chr5-4521	chr5	123136000	123144237	+	1198.6	8237.000	9.000000	196.0	10.8	18.17	1.20e-168	1.00
chr11-9368	chr11	120232499	120239111	+	1155.8	6612.000	5.000000	189.0	2.5	75.93	1.19e-276	0.92
chr14-3722	chr14	63238536	63247360	+	1119.1	8824.000	5.000000	183.0	3.3	55.14	6.72e-243	0.50
chr5-3938	chr5	57714596	57723258	+	1113.0	8662.000	10.000000	182.0	5.0	36.56	7.95e-210	0.93
chr9-5074	chr9	62340239	62345455	+	1094.6	5216.000	6.000000	179.0	3.3	53.93	6.01e-236	0.94
chr12-2300	chr12	80109801	80116381	+	1088.5	6580.000	10.000000	178.0	5.0	35.75	1.37e-203	0.91
chr3-3369	chr3	148986369	148991121	+	1070.2	4752.000	9.000000	175.0	2.5	70.30	1.53e-250	0.94
chr1-3464	chr1	86524803	86529800	+	1057.9	4997.000	10.000000	173.0	2.5	69.50	7.54e-247	1.01
chr11-6642	chr11	98793963	98798161	+	1057.9	4198.000	8.000000	173.0	3.3	52.12	1.36e-225	1.00
chr7-6369	chr7	70356313	70363106	+	1039.6	6793.000	6.000000	170.0	7.5	22.76	2.28e-162	0.98
chr10-4618	chr10	80147588	80153027	+	1039.6	5439.000	6.000000	170.0	1.7	102.44	6.58e-271	0.98
chr19-2739	chr19	5797263	5804391	+	1039.6	7128.000	7.000000	170.0	5.8	29.27	3.30e-180	0.93
chr9-1758	chr9	57071458	57077700	+	1021.2	6242.000	16.000000	167.0	7.5	22.36	2.64e-158	0.91
chr19-2944	chr19	46499987	46505434	+	1021.2	5447.000	7.000000	167.0	2.5	67.09	7.78e-236	0.98
chr11-8126	chr11	102316177	102320669	+	1002.9	4492.000	6.000000	164.0	2.5	65.88	2.31e-230	0.99
chr8-5230	chr8	126589323	126594586	+	996.8	5263.000	6.000000	163.0	4.1	39.29	4.24e-193	0.91
chr5-724	chr5	136565349	136569325	+	978.4	3976.000	24.000000	160.0	1.7	96.42	6.40e-251	0.93
chr4-1872	chr4	133751535	133755006	+	966.2	3471.000	17.000000	158.0	3.3	47.61	4.15e-200	0.94
chr11-6598	chr11	96002858	96008209	+	960.1	5351.000	8.000000	157.0	2.5	63.07	1.09e-217	0.97
chr1-4717	chr1	88275915	88278045	+	954.0	2130.000	7.000000	156.0	7.5	20.89	1.32e-143	0.93
chr18-3153	chr18	82908885	82916205	+	947.9	7320.000	5.000000	155.0	5.0	31.13	1.67e-168	0.83
